id,category,question,option1,option2,option3,option4,answer,explanation
ma001,XML,XML에 대한 설명으로 옳은 것은?,안드로이드 가상머신이다,문서를 사람과 기계가 읽을 수 있는 형식으로 부호화하는 규칙이다,소리 재생 객체이다,센서 관리 클래스이다,2,XML은 문서를 사람과 기계가 모두 읽을 수 있게 표현하는 마크업 언어이다
ma002,레이아웃,안드로이드에서 레이아웃이 의미하는 것은?,앱 삭제 과정,화면 출력과 화면 배치,센서값 변경,소리 파일 압축,2,레이아웃은 화면에 View를 어떻게 배치하고 출력할지 정하는 구조이다
ma003,런타임,런타임의 의미는?,앱 설치 전 단계,프로그램이 실행되고 있는 동안의 동작,XML 문서 작성 과정,컴파일러 설치 과정,2,런타임은 컴퓨터 프로그램이 실행 중일 때의 동작을 말한다
ma004,Dalvik,Dalvik에 대한 설명으로 옳은 것은?,JIT 기반 안드로이드 가상머신,앱 설치 전 컴파일 방식만 사용,하드웨어 추상화 계층,이미지 출력 위젯,1,Dalvik은 JIT 방식의 컴파일 환경을 기반으로 한 안드로이드 가상머신이다
ma005,ART,ART에 대한 설명으로 옳은 것은?,앱 실행 중에만 컴파일한다,앱 설치 전에 컴파일을 끝내고 실행한다,화면 배치만 담당한다,센서 이벤트만 처리한다,2,ART는 앱을 설치하기 전에 컴파일을 수행하는 안드로이드 런타임이다
ma006,Activity,Activity에 대한 설명으로 옳은 것은?,앱의 화면을 구성하는 컴포넌트이다,소리 파일을 재생하는 객체이다,센서값을 담는 객체이다,표 형식 레이아웃이다,1,Activity는 안드로이드 앱 화면을 구성하는 주요 컴포넌트이며 여러 View로 구성된다
ma007,View,View의 역할로 옳은 것은?,화면의 사각 영역에 모양을 그리고 입력을 받는다,앱을 설치한다,가상머신을 교체한다,오디오 장비만 관리한다,1,View는 UI를 구성하는 핵심 객체로 화면을 그리고 사용자 입력을 받는다
ma008,위젯,위젯에 대한 설명으로 옳은 것은?,화면에 내용을 출력할 수 있는 작은 GUI 도구이다,리눅스 커널이다,가상머신이다,파일 압축 형식이다,1,위젯은 사용자 인터페이스를 구성하고 화면에 특정 내용을 출력할 수 있다
ma009,View속성,View의 이름을 정의하는 속성은?,background,id,rotation,alpha,2,id 속성은 View의 이름이나 식별자를 정의한다
ma010,View속성,View의 뒷배경을 정의하는 속성은?,background,focusable,singleLine,src,1,background 속성은 View의 배경을 지정한다
ma011,View속성,View의 기울기 또는 회전을 정의하는 속성은?,visibility,rotation,padding,textStyle,2,rotation 속성은 View의 기울기나 회전 값을 지정한다
ma012,View속성,View의 화면 출력 여부를 정의하는 속성은?,visibility,id,typeface,src,1,visibility는 View를 화면에 보이게 할지 숨길지를 정한다
ma013,View속성,View의 포커스 가능 여부를 정의하는 속성은?,alpha,focusable,cropToPadding,maxWidth,2,focusable은 View가 포커스를 받을 수 있는지 설정한다
ma014,View속성,View의 투명도를 정의하는 속성은?,alpha,background,layout_margin,orientation,1,alpha 값은 View의 투명도를 조절한다
ma015,View속성,View와 콘텐츠 사이 안쪽 여백을 지정하는 속성은?,padding,layout_margin,layout_weight,baselineAligned,1,padding은 View 내부에서 콘텐츠와 경계 사이의 여백이다
ma016,TextView,TextView의 역할은?,텍스트 출력,이미지 출력,효과음 재생,센서 접근,1,TextView는 화면에 텍스트를 출력하는 위젯이다
ma017,TextView,TextView의 텍스트 내용을 지정하는 속성은?,text,src,scaleType,orientation,1,text 속성은 TextView에 출력할 문자열을 지정한다
ma018,TextView,TextView의 글자 색상을 지정하는 속성은?,textColor,textSize,singleLine,adjustViewBounds,1,textColor는 텍스트 색상을 지정한다
ma019,TextView,TextView의 글자 크기를 지정하는 속성은?,textStyle,textSize,src,minHeight,2,textSize는 글자 크기를 지정한다
ma020,TextView,TextView의 글자 모양을 굵게 또는 기울임으로 지정하는 속성은?,textStyle,singleLine,src,cropToPadding,1,textStyle은 bold나 italic 같은 글자 스타일을 지정한다
ma021,TextView,TextView의 글꼴을 지정하는 속성은?,typeface,alpha,layout_width,maxHeight,1,typeface는 글꼴을 지정하는 속성이다
ma022,TextView,TextView를 한 줄로 표시하는 속성은?,singleLine,scaleType,layout_weight,focusable,1,singleLine은 텍스트를 한 줄로 표시하도록 설정한다
ma023,ImageView,ImageView의 역할은?,아이콘이나 비트맵 출력,문자열 입력,시간 선택,이벤트 메시지 처리,1,ImageView는 화면에 이미지나 비트맵을 출력하는 위젯이다
ma024,ImageView,ImageView에서 출력할 이미지를 지정하는 속성은?,src,text,onClick,baselineAligned,1,src 속성은 ImageView에 표시할 이미지 리소스를 지정한다
ma025,ImageView,ImageView의 최대 폭을 지정하는 속성은?,maxWidth,minHeight,textColor,orientation,1,maxWidth는 ImageView의 최대 폭을 제한한다
ma026,ImageView,ImageView의 최대 높이를 지정하는 속성은?,maxHeight,textSize,gravity,layout_margin,1,maxHeight는 ImageView의 최대 높이를 제한한다
ma027,ImageView,이미지 비율에 맞춰 View 크기를 조정하는 속성은?,adjustViewBounds,textAllCaps,layout_weight,focusable,1,adjustViewBounds는 이미지 비율을 고려하여 View 경계를 조절한다
ma028,ImageView,ImageView의 이미지 확대 축소 방식을 정하는 속성은?,scaleType,textStyle,id,padding,1,scaleType은 ImageView에서 이미지가 표시되는 크기 조정 방식을 지정한다
ma029,Button,Button에 대한 설명으로 옳은 것은?,선택 이벤트를 수집하는 위젯이다,문자열만 입력받는 위젯이다,표 형식 레이아웃이다,센서값 객체이다,1,Button은 사용자의 클릭 같은 선택 이벤트를 수집할 수 있다
ma030,Button,Button의 영문 텍스트를 대문자로 표시하는 속성은?,textAllCaps,getText,singleLine,src,1,textAllCaps는 버튼 텍스트를 모두 대문자로 표시할 수 있다
ma031,Button,Button 클릭 시 실행할 메소드를 지정하는 속성은?,onClick,alpha,maxWidth,baselineAligned,1,onClick 속성은 클릭 이벤트 발생 시 호출할 메소드를 지정한다
ma032,EditText,EditText에 대한 설명으로 옳은 것은?,문자열 입력 인터페이스를 제공한다,아이콘만 출력한다,효과음만 재생한다,Fragment를 관리한다,1,EditText는 사용자로부터 문자열을 입력받는 위젯이다
ma033,EditText,EditText의 입력값을 가져올 때 사용하는 메소드는?,getText,play,load,attach,1,getText 메소드는 EditText의 입력 문자열을 가져온다
ma034,CheckBox,CheckBox의 특징은?,여러 항목 선택 가능,한 항목만 선택 가능,시간 입력 전용,이미지 출력 전용,1,CheckBox는 문자열 리스트에서 여러 구성요소를 선택할 수 있다
ma035,RadioButton,RadioButton의 특징은?,여러 항목 선택 가능,하나의 항목 선택 가능,센서값 수신,소리 출력,2,RadioButton은 여러 선택지 중 하나를 선택할 때 사용한다
ma036,Switch,Switch의 특징은?,On Off 전환 토글 인터페이스,표 형식 배치,이미지 출력,데이터 파일 읽기,1,Switch는 사용자의 선택에 따라 On과 Off를 전환한다
ma037,이벤트,이벤트의 의미는?,사용자가 생성시키는 동작이나 사건,XML 속성 이름,가상머신 종류,하드웨어 계층,1,이벤트는 클릭이나 입력처럼 프로그램이 반응해야 할 사건이다
ma038,LinearLayout,LinearLayout의 특징은?,차일드 View를 일렬로 배치한다,절대 좌표만 사용한다,항상 겹쳐서 배치한다,센서값을 저장한다,1,LinearLayout은 포함된 View를 수평 또는 수직으로 일렬 배치한다
ma039,레이아웃속성,layout_width와 layout_height의 역할은?,View 크기 기준 결정,View 이름 지정,텍스트 색상 지정,센서값 변경,1,layout_width와 layout_height는 레이아웃 안에서 View 크기를 결정한다
ma040,레이아웃속성,View와 형제 View 사이의 간격을 지정하는 속성은?,layout_margin,padding,alpha,text,1,layout_margin은 View 바깥쪽 여백을 의미한다
ma041,LinearLayout,LinearLayout 내부 View 배치 방향을 지정하는 속성은?,orientation,visibility,src,typeface,1,orientation은 vertical 또는 horizontal 방향을 지정한다
ma042,LinearLayout,baselineAligned 속성의 역할은?,높이가 다른 TextView의 기준선을 맞춘다,이미지 크기를 키운다,센서를 켠다,소리를 재생한다,1,baselineAligned는 수평 배치된 TextView의 텍스트 기준선을 정렬하는 데 사용된다
ma043,레이아웃속성,gravity 속성의 의미는?,View 내부 내용물 정렬 방식,View 바깥쪽 여백,View 이름,앱 실행환경,1,gravity는 TextView나 ImageView 같은 내용물의 정렬을 지정한다
ma044,레이아웃속성,layout_weight 속성의 의미는?,상위 레이아웃 영역 할당 비율,글자 색상,포커스 여부,효과음 재생,1,layout_weight는 부모 영역을 내부 View들이 나누어 갖는 비율을 지정한다
ma045,RelativeLayout,RelativeLayout의 특징은?,View와 부모 또는 View끼리의 관계로 배치한다,항상 좌상단에 겹친다,절대 좌표만 사용한다,표 형식으로만 배치한다,1,RelativeLayout은 View 간 상대적 관계를 이용해 배치한다
ma046,AbsoluteLayout,AbsoluteLayout의 특징은?,지정한 절대 좌표에 배치한다,관계 기반으로 배치한다,항상 수직으로 배치한다,센서를 관리한다,1,AbsoluteLayout은 관계나 순서와 상관없이 절대 좌표에 View를 배치한다
ma047,FrameLayout,FrameLayout의 특징은?,추가된 순서대로 겹쳐 표시한다,항상 표 형식으로 표시한다,센서 이벤트만 처리한다,텍스트만 출력한다,1,FrameLayout의 모든 차일드 View는 좌상단 기준으로 겹쳐 표시된다
ma048,TableLayout,TableLayout의 특징은?,표 형식으로 차일드를 배치한다,절대 좌표만 사용한다,효과음을 재생한다,인텐트를 전달한다,1,TableLayout은 행과 열 같은 표 구조로 View를 배치한다
ma049,ViewGroup,레이아웃 안에 중첩 배치할 수 있는 것은?,ViewGroup과 위젯,Dalvik만,Linux Kernel만,AudioManager만,1,View로부터 파생된 ViewGroup과 위젯은 레이아웃 안에 중첩 배치할 수 있다
ma050,View속성,View 속성값을 실행 중 변경할 수 있는 방법은?,JAVA 코드 사용,앱 삭제,커널 교체,XML 제거,1,뷰 속성값은 JAVA 코드를 이용하여 실행 중에도 변경할 수 있다
ma051,Canvas,Canvas의 의미는?,View의 그리기 표면,센서 이벤트 객체,오디오 장비 관리자,날짜 선택 위젯,1,Canvas는 그림을 그릴 수 있는 View의 표면이다
ma052,Canvas,Antialiasing의 의미는?,곡선 외곽선을 부드럽게 만드는 렌더링 기술,소리 파일 로드 기술,센서값 저장 기술,XML 압축 기술,1,Antialiasing은 계단식 모서리를 부드럽게 보이게 한다
ma053,SoundPool,SoundPool 사용을 위해 음원 파일을 두는 폴더는?,res/raw,res/layout,res/values,assets/xml,1,SoundPool은 res/raw의 소리 파일을 load와 play로 사용할 수 있다
ma054,SoundPool,SoundPool에서 소리 파일을 미리 읽는 메소드는?,load,play,getText,attach,1,load 메소드는 소리 파일을 메모리에 준비한다
ma055,SoundPool,SoundPool에서 소리를 재생하는 메소드는?,play,load,stopActivity,inflate,1,play 메소드는 준비된 소리 파일을 재생한다
ma056,AudioManager,AudioManager의 역할은?,출력 장비와 오디오 관리,날짜 입력,Fragment 관리,XML 파싱,1,AudioManager는 출력 장비와 오디오를 관리한다
ma057,AudioManager,AudioManager의 장점은?,별도 효과음 파일 없이 시스템 오디오를 사용할 수 있다,레이아웃을 자동 생성한다,센서를 직접 만든다,DB를 압축한다,1,AudioManager는 시스템에서 제공하는 오디오를 사용할 수 있다
ma058,이벤트,콜백 메소드란?,특정 이벤트 발생 시 시스템이 자동 호출하는 메소드,사용자가 항상 직접 호출하는 함수,XML 태그 이름,이미지 리소스,1,콜백 메소드는 이벤트 발생 시 시스템에 의해 자동으로 호출된다
ma059,이벤트,이벤트 리스너란?,특정 이벤트를 처리하는 인터페이스,앱 설치 파일,커널 관리자,이미지 출력 속성,1,이벤트 리스너는 이벤트 발생 여부를 기다리고 처리하는 객체이다
ma060,이벤트,이벤트 핸들러의 의미는?,다른 객체의 메시지를 받고 처리하는 객체,가상머신,위젯 배경,센서 하드웨어,1,이벤트 핸들러는 전달된 메시지나 이벤트를 처리한다
ma061,이벤트,핸들러의 의미는?,다른 객체가 보낸 메시지를 처리하는 객체,텍스트 크기,리눅스 커널,날짜 선택 창,1,핸들러는 메시지를 받아 처리하는 객체이다
ma062,이벤트,익명 클래스는 언제 자주 사용하는가?,일회용 객체를 한 번 만들 때,앱을 배포할 때,XML을 삭제할 때,센서를 제거할 때,1,익명 클래스는 이벤트 처리에서 일회용 객체를 만들 때 자주 사용된다
ma063,터치이벤트,화면 터치 이벤트를 처리할 수 있는 콜백 메소드는?,onTouchEvent,onKeyDown,getText,read.table,1,onTouchEvent는 MotionEvent를 받아 터치 이벤트를 처리한다
ma064,터치이벤트,터치 이벤트 리스너의 핸들러 메소드 형태는?,onTouch,onKeyDown,onCreateOptions,onMeasureOnly,1,onTouch(View v MotionEvent event)는 터치 리스너에서 사용된다
ma065,터치이벤트,터치 정보를 담는 객체는?,MotionEvent,KeyEvent,Sensor,Intent,1,MotionEvent는 터치 위치와 동작 정보를 담는다
